title,score,episode,aired,user
Fullmetal Alchemist: Brotherhood,9.10,TV (64 eps),Apr 2009 - Jul 2010,"3,232,824 members"
Steins;Gate,9.07,TV (24 eps),Apr 2011 - Sep 2011,"2,484,561 members"
Gintama°,9.06,TV (51 eps),Apr 2015 - Mar 2016,"608,541 members"
Bleach: Sennen Kessen-hen,9.05,TV (13 eps),Oct 2022 - Dec 2022,"483,862 members"
Gintama: The Final,9.05,Movie (1 eps),Jan 2021 - Jan 2021,"139,044 members"
Shingeki no Kyojin Season 3 Part 2,9.05,TV (10 eps),Apr 2019 - Jul 2019,"2,161,148 members"
Gintama',9.04,TV (51 eps),Apr 2011 - Mar 2012,"537,338 members"
Hunter x Hunter (2011),9.04,TV (148 eps),Oct 2011 - Sep 2014,"2,716,537 members"
Kaguya-sama wa Kokurasetai: Ultra Romantic,9.04,TV (13 eps),Apr 2022 - Jun 2022,"860,821 members"
Gintama': Enchousen,9.03,TV (13 eps),Oct 2012 - Mar 2013,"314,985 members"
Shingeki no Kyojin: The Final Season - Kanketsu-hen,9.03,Special (2 eps),Mar 2023 - Nov 2023,"483,588 members"
Ginga Eiyuu Densetsu,9.02,OVA (110 eps),Jan 1988 - Mar 1997,"310,757 members"
Sousou no Frieren,9.01,TV (? eps),Sep 2023 -,"136,001 members"
Fruits Basket: The Final,8.99,TV (13 eps),Apr 2021 - Jun 2021,"447,951 members"
Gintama.,8.98,TV (12 eps),Jan 2017 - Mar 2017,"303,888 members"
Gintama,8.94,TV (201 eps),Apr 2006 - Mar 2010,"1,038,575 members"
Koe no Katachi,8.94,Movie (1 eps),Sep 2016 - Sep 2016,"2,240,291 members"
3-gatsu no Lion 2nd Season,8.93,TV (22 eps),Oct 2017 - Mar 2018,"390,127 members"
Clannad: After Story,8.93,TV (24 eps),Oct 2008 - Mar 2009,"1,164,762 members"
Code Geass: Hangyaku no Lelouch R2,8.91,TV (25 eps),Apr 2008 - Sep 2008,"1,727,788 members"
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.91,Movie (1 eps),Jul 2013 - Jul 2013,"233,556 members"
Violet Evergarden Movie,8.89,Movie (1 eps),Sep 2020 - Sep 2020,"570,019 members"
Owarimonogatari 2nd Season,8.88,TV (7 eps),Aug 2017 - Aug 2017,"386,800 members"
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.88,TV (14 eps),Jul 2018 - Oct 2018,"190,464 members"
Monster,8.87,TV (74 eps),Apr 2004 - Sep 2005,"1,050,927 members"
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.86,TV (13 eps),Jul 2023 - Sep 2023,"199,979 members"
Kimi no Na wa.,8.84,Movie (1 eps),Aug 2016 - Aug 2016,"2,648,101 members"
The First Slam Dunk,8.83,Movie (1 eps),Dec 2022 - Dec 2022,"29,136 members"
Jujutsu Kaisen 2nd Season,8.83,TV (23 eps),Jul 2023 -,"603,294 members"
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.83,Movie (1 eps),Dec 2022 - Dec 2022,"212,723 members"
Bocchi the Rock!,8.82,TV (12 eps),Oct 2022 - Dec 2022,"477,698 members"
Gintama.: Shirogane no Tamashii-hen,8.81,TV (12 eps),Jan 2018 - Mar 2018,"204,780 members"
Kingdom 3rd Season,8.81,TV (26 eps),Apr 2020 - Oct 2021,"94,529 members"
Vinland Saga Season 2,8.81,TV (24 eps),Jan 2023 - Jun 2023,"509,892 members"
Mob Psycho 100 II,8.80,TV (13 eps),Jan 2019 - Apr 2019,"1,466,884 members"
Kizumonogatari III: Reiketsu-hen,8.79,Movie (1 eps),Jan 2017 - Jan 2017,"447,512 members"
Shingeki no Kyojin: The Final Season,8.79,TV (16 eps),Dec 2020 - Mar 2021,"1,894,777 members"
Kimetsu no Yaiba: Yuukaku-hen,8.78,TV (11 eps),Dec 2021 - Feb 2022,"1,317,286 members"
Sen to Chihiro no Kamikakushi,8.78,Movie (1 eps),Jul 2001 - Jul 2001,"1,793,758 members"
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.78,TV (10 eps),Oct 2016 - Dec 2016,"1,162,587 members"
"""Oshi no Ko""",8.77,TV (11 eps),Apr 2023 - Jun 2023,"666,505 members"
Monogatari Series: Second Season,8.77,TV (26 eps),Jul 2013 - Dec 2013,"655,156 members"
Shingeki no Kyojin: The Final Season Part 2,8.77,TV (12 eps),Jan 2022 - Apr 2022,"1,181,971 members"
Hajime no Ippo,8.76,TV (75 eps),Oct 2000 - Mar 2002,"562,921 members"
Cowboy Bebop,8.75,TV (26 eps),Apr 1998 - Apr 1999,"1,805,071 members"
Kingdom 4th Season,8.74,TV (26 eps),Apr 2022 - Oct 2022,"56,708 members"
Vinland Saga,8.74,TV (24 eps),Jul 2019 - Dec 2019,"1,416,867 members"
Mushishi Zoku Shou 2nd Season,8.73,TV (10 eps),Oct 2014 - Dec 2014,"258,506 members"
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.72,TV (12 eps),Jan 2017 - Mar 2017,"183,097 members"
Ashita no Joe 2,8.72,TV (47 eps),Oct 1980 - Aug 1981,"49,200 members"
86 Part 2,8.71,TV (12 eps),Oct 2021 - Mar 2022,"456,533 members"
Mob Psycho 100 III,8.71,TV (12 eps),Oct 2022 - Dec 2022,"609,750 members"
One Piece,8.71,TV (? eps),Oct 1999 -,"2,242,749 members"
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.71,OVA (4 eps),Feb 1999 - Sep 1999,"272,064 members"
Bungou Stray Dogs 5th Season,8.70,TV (11 eps),Jul 2023 - Sep 2023,"130,188 members"
Code Geass: Hangyaku no Lelouch,8.70,TV (25 eps),Oct 2006 - Jul 2007,"2,185,692 members"
Great Teacher Onizuka,8.69,TV (43 eps),Jun 1999 - Sep 2000,"801,582 members"
Mushishi Zoku Shou,8.69,TV (10 eps),Apr 2014 - Jun 2014,"292,321 members"
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,8.69,TV (12 eps),Oct 2021 - Dec 2021,"840,518 members"
Shiguang Dailiren,8.69,ONA (11 eps),Apr 2021 - Jul 2021,"328,187 members"
Odd Taxi,8.68,TV (13 eps),Apr 2021 - Jun 2021,"404,941 members"
Mononoke Hime,8.67,Movie (1 eps),Jul 1997 - Jul 1997,"1,213,283 members"
Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.67,Movie (1 eps),Aug 2020 - Aug 2020,"333,872 members"
Violet Evergarden,8.67,TV (13 eps),Jan 2018 - Apr 2018,"1,712,940 members"
Made in Abyss,8.66,TV (13 eps),Jul 2017 - Sep 2017,"1,325,164 members"
Mushishi,8.66,TV (26 eps),Oct 2005 - Jun 2006,"805,994 members"
Hajime no Ippo: New Challenger,8.66,TV (26 eps),Jan 2009 - Jul 2009,"274,321 members"
Howl no Ugoku Shiro,8.66,Movie (1 eps),Nov 2004 - Nov 2004,"1,283,347 members"
Made in Abyss: Retsujitsu no Ougonkyou,8.65,TV (12 eps),Jul 2022 - Sep 2022,"406,484 members"
Shigatsu wa Kimi no Uso,8.65,TV (22 eps),Oct 2014 - Mar 2015,"2,146,423 members"
Natsume Yuujinchou Shi,8.64,TV (13 eps),Jan 2012 - Mar 2012,"239,542 members"
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,8.64,TV (12 eps),Apr 2020 - Jun 2020,"1,288,381 members"
Haikyuu!! Second Season,8.63,TV (25 eps),Oct 2015 - Mar 2016,"1,384,365 members"
Jujutsu Kaisen,8.63,TV (24 eps),Oct 2020 - Mar 2021,"2,350,520 members"
Tengen Toppa Gurren Lagann,8.63,TV (27 eps),Apr 2007 - Sep 2007,"1,569,877 members"
Death Note,8.62,TV (37 eps),Oct 2006 - Jun 2007,"3,778,701 members"
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,8.62,Movie (1 eps),Jan 2020 - Jan 2020,"437,657 members"
Natsume Yuujinchou Roku,8.62,TV (11 eps),Apr 2017 - Jun 2017,"180,779 members"
Ping Pong the Animation,8.62,TV (11 eps),Apr 2014 - Jun 2014,"381,559 members"
Shingeki no Kyojin Season 3,8.62,TV (12 eps),Jul 2018 - Oct 2018,"2,263,222 members"
Kimetsu no Yaiba Movie: Mugen Ressha-hen,8.61,Movie (1 eps),Oct 2020 - Oct 2020,"1,454,225 members"
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,8.61,ONA (14 eps),Dec 2022 - Dec 2022,"170,073 members"
Cyberpunk: Edgerunners,8.60,ONA (10 eps),Sep 2022 - Sep 2022,"642,983 members"
Evangelion: 3.0+1.0 Thrice Upon a Time,8.60,Movie (1 eps),Mar 2021 - Mar 2021,"357,715 members"
Hajime no Ippo: Rising,8.60,TV (25 eps),Oct 2013 - Mar 2014,"248,338 members"
Suzumiya Haruhi no Shoushitsu,8.60,Movie (1 eps),Feb 2010 - Feb 2010,"596,914 members"
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,8.60,Movie (1 eps),Jun 2019 - Jun 2019,"681,541 members"
Mushishi Zoku Shou: Suzu no Shizuku,8.59,Movie (1 eps),May 2015 - May 2015,"125,042 members"
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,8.58,TV (39 eps),Oct 2018 - Jul 2019,"981,600 members"
Spy x Family,8.58,TV (12 eps),Apr 2022 - Jun 2022,"1,420,279 members"
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,8.57,Movie (1 eps),Apr 2009 - Apr 2009,"210,196 members"
Kenpuu Denki Berserk,8.57,TV (25 eps),Oct 1997 - Apr 1998,"626,481 members"
Kizumonogatari II: Nekketsu-hen,8.57,Movie (1 eps),Aug 2016 - Aug 2016,"431,992 members"
Natsume Yuujinchou Go,8.57,TV (11 eps),Oct 2016 - Dec 2016,"180,302 members"
Natsume Yuujinchou San,8.57,TV (13 eps),Jul 2011 - Sep 2011,"246,867 members"
Ookami Kodomo no Ame to Yuki,8.57,Movie (1 eps),Jul 2012 - Jul 2012,"794,526 members"
Shouwa Genroku Rakugo Shinjuu,8.57,TV (13 eps),Jan 2016 - Apr 2016,"285,027 members"
Yojouhan Shinwa Taikei,8.56,TV (11 eps),Apr 2010 - Jul 2010,"437,093 members"
Kimi no Suizou wo Tabetai,8.55,Movie (1 eps),Sep 2018 - Sep 2018,"921,467 members"
Neon Genesis Evangelion: The End of Evangelion,8.55,Movie (1 eps),Jul 1997 - Jul 1997,"899,912 members"
Shoujo☆Kageki Revue Starlight Movie,8.55,Movie (1 eps),Jun 2021 - Jun 2021,"17,438 members"
Chainsaw Man,8.55,TV (12 eps),Oct 2022 - Dec 2022,"1,363,882 members"
Fate/Zero 2nd Season,8.55,TV (12 eps),Apr 2012 - Jun 2012,"1,090,691 members"
Fruits Basket 2nd Season,8.55,TV (25 eps),Apr 2020 - Sep 2020,"485,297 members"
Haikyuu!! To the Top Part 2,8.55,TV (12 eps),Oct 2020 - Dec 2020,"776,818 members"
Zoku Natsume Yuujinchou,8.54,TV (13 eps),Jan 2009 - Mar 2009,"242,893 members"
Nana,8.54,TV (47 eps),Apr 2006 - Mar 2007,"635,254 members"
Perfect Blue,8.54,Movie (1 eps),Feb 1998 - Feb 1998,"674,813 members"
Shingeki no Kyojin,8.54,TV (25 eps),Apr 2013 - Sep 2013,"3,811,260 members"
Slam Dunk,8.54,TV (101 eps),Oct 1993 - Mar 1996,"290,045 members"
Mushishi: Hihamukage,8.53,Special (1 eps),Jan 2014 - Jan 2014,"135,571 members"
Ousama Ranking,8.53,TV (23 eps),Oct 2021 - Mar 2022,"601,458 members"
Bakuman. 3rd Season,8.53,TV (25 eps),Oct 2012 - Mar 2013,"324,323 members"
Steins;Gate 0,8.53,TV (23 eps),Apr 2018 - Sep 2018,"844,894 members"
Yuru Camp△ Season 2,8.53,TV (13 eps),Jan 2021 - Apr 2021,"211,440 members"
Kara no Kyoukai Movie 5: Mujun Rasen,8.52,Movie (1 eps),Aug 2008 - Aug 2008,"233,836 members"
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,8.52,TV (26 eps),Jan 2004 - Jan 2005,"223,103 members"
Sora yori mo Tooi Basho,8.52,TV (13 eps),Jan 2018 - Mar 2018,"487,790 members"
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,Movie (1 eps),Apr 2010 - Apr 2010,"159,880 members"
Gintama.: Porori-hen,8.52,TV (13 eps),Oct 2017 - Dec 2017,"195,161 members"
Hotaru no Haka,8.51,Movie (1 eps),Apr 1988 - Apr 1988,"651,561 members"
Yakusoku no Neverland,8.51,TV (12 eps),Jan 2019 - Mar 2019,"1,902,488 members"
Samurai Champloo,8.51,TV (26 eps),May 2004 - Mar 2005,"1,205,816 members"
Shingeki no Kyojin Season 2,8.51,TV (12 eps),Apr 2017 - Jun 2017,"2,617,634 members"
Karakai Jouzu no Takagi-san Movie,8.50,Movie (1 eps),Jun 2022 - Jun 2022,"65,002 members"
One Punch Man,8.50,TV (12 eps),Oct 2015 - Dec 2015,"3,112,877 members"
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.50,TV (39 eps),Apr 2016 - Dec 2016,"1,080,414 members"
Summertime Render,8.50,TV (25 eps),Apr 2022 - Sep 2022,"474,038 members"
Uchuu Kyoudai,8.49,TV (99 eps),Apr 2012 - Mar 2014,"189,574 members"
Kimetsu no Yaiba,8.49,TV (26 eps),Apr 2019 - Sep 2019,"2,889,334 members"
Mob Psycho 100,8.49,TV (12 eps),Jul 2016 - Sep 2016,"1,997,182 members"
Ansatsu Kyoushitsu 2nd Season,8.49,TV (25 eps),Jan 2016 - Jul 2016,"1,386,215 members"
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,8.49,Movie (1 eps),Jan 2019 - Jan 2019,"373,822 members"
Aria the Origination,8.48,TV (13 eps),Jan 2008 - Apr 2008,"125,622 members"
Banana Fish,8.48,TV (24 eps),Jul 2018 - Dec 2018,"829,905 members"
Rainbow: Nisha Rokubou no Shichinin,8.48,TV (26 eps),Apr 2010 - Sep 2010,"386,298 members"
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,8.47,Movie (1 eps),Oct 2013 - Oct 2013,"367,888 members"
Gintama: The Semi-Final,8.47,Special (2 eps),Jan 2021 - Jan 2021,"72,113 members"
Jujutsu Kaisen 0 Movie,8.47,Movie (1 eps),Dec 2021 - Dec 2021,"790,983 members"
Bungou Stray Dogs 4th Season,8.46,TV (13 eps),Jan 2023 - Mar 2023,"252,468 members"
Chihayafuru 3,8.46,TV (24 eps),Oct 2019 - Mar 2020,"135,618 members"
Yuu☆Yuu☆Hakusho,8.46,TV (112 eps),Oct 1992 - Jan 1995,"665,786 members"
Mo Dao Zu Shi: Wanjie Pian,8.46,ONA (12 eps),Aug 2021 - Oct 2021,"75,359 members"
Nichijou,8.46,TV (26 eps),Apr 2011 - Sep 2011,"868,409 members"
Road of Naruto,8.46,ONA (1 eps),Oct 2022 - Oct 2022,"30,332 members"
Owarimonogatari,8.45,TV (12 eps),Oct 2015 - Dec 2015,"467,355 members"
Golden Kamuy 3rd Season,8.45,TV (12 eps),Oct 2020 - Dec 2020,"159,569 members"
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45,Movie (1 eps),Apr 2013 - Apr 2013,"580,196 members"
Yuru Camp△ Movie,8.45,Movie (1 eps),Jul 2022 - Jul 2022,"70,266 members"
Zoku Owarimonogatari,8.45,Movie (6 eps),Nov 2018 - Nov 2018,"218,350 members"
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.44,Movie (1 eps),Aug 2019 - Aug 2019,"743,553 members"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.44,TV (12 eps),Jan 2021 - Mar 2021,"842,920 members"
Haikyuu!!,8.44,TV (25 eps),Apr 2014 - Sep 2014,"1,904,750 members"
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44,TV (24 eps),Jan 2015 - Jun 2015,"1,072,753 members"
Fruits Basket: Prelude,8.43,Movie (1 eps),Feb 2022 - Feb 2022,"97,696 members"
Gintama: Yorinuki Gintama-san on Theater 2D,8.43,Movie (2 eps),Aug 2012 - Aug 2012,"43,211 members"
Grand Blue,8.43,TV (12 eps),Jul 2018 - Sep 2018,"748,769 members"
Mononoke,8.43,TV (12 eps),Jul 2007 - Sep 2007,"316,301 members"
Mushishi Zoku Shou: Odoro no Michi,8.43,Special (1 eps),Aug 2014 - Aug 2014,"98,337 members"
Saenai Heroine no Sodatekata Fine,8.43,Movie (1 eps),Oct 2019 - Oct 2019,"176,462 members"
Karakai Jouzu no Takagi-san 3,8.42,TV (12 eps),Jan 2022 - Mar 2022,"176,828 members"
Kono Oto Tomare! Part 2,8.42,TV (13 eps),Oct 2019 - Dec 2019,"169,075 members"
Koukaku Kidoutai: Stand Alone Complex,8.42,TV (26 eps),Oct 2002 - Oct 2003,"389,417 members"
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.42,Movie (1 eps),Sep 2018 - Sep 2018,"69,433 members"
Saiki Kusuo no Ψ-nan 2,8.42,TV (24 eps),Jan 2018 - Jun 2018,"618,071 members"
Saiki Kusuo no Ψ-nan,8.41,TV (120 eps),Jul 2016 - Dec 2016,"1,060,702 members"
Shingeki no Kyojin: Kuinaki Sentaku,8.41,OVA (2 eps),Dec 2014 - Apr 2015,"497,751 members"
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41,Movie (1 eps),Sep 2019 - Sep 2019,"402,272 members"
Vivy: Fluorite Eye's Song,8.41,TV (13 eps),Apr 2021 - Jun 2021,"512,627 members"
Hunter x Hunter,8.41,TV (62 eps),Oct 1999 - Mar 2001,"574,063 members"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.41,TV (12 eps),Jan 2019 - Mar 2019,"1,671,168 members"
Josee to Tora to Sakana-tachi,8.40,Movie (1 eps),Dec 2020 - Dec 2020,"398,279 members"
Major S5,8.40,TV (25 eps),Jan 2009 - Jun 2009,"69,634 members"
Mo Dao Zu Shi,8.40,ONA (15 eps),Jul 2018 - Oct 2018,"222,548 members"
Natsume Yuujinchou Roku Specials,8.40,Special (2 eps),Sep 2017 - Oct 2017,"45,324 members"
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.40,Movie (1 eps),Feb 2018 - Feb 2018,"413,670 members"
Shiguang Dailiren II,8.40,ONA (12 eps),Jul 2023 - Sep 2023,"81,802 members"
Kamisama Hajimemashita: Kako-hen,8.39,OVA (4 eps),Aug 2015 - Aug 2016,"162,446 members"
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.39,Movie (1 eps),Aug 2009 - Aug 2009,"202,939 members"
Kaze ga Tsuyoku Fuiteiru,8.39,TV (23 eps),Oct 2018 - Mar 2019,"291,358 members"
Gintama°: Aizome Kaori-hen,8.39,OVA (2 eps),Aug 2016 - Nov 2016,"83,157 members"
Houseki no Kuni,8.39,TV (12 eps),Oct 2017 - Dec 2017,"444,085 members"
Tensei shitara Slime Datta Ken 2nd Season,8.39,TV (12 eps),Jan 2021 - Mar 2021,"901,379 members"
Kimetsu no Yaiba: Mugen Ressha-hen,8.38,TV (7 eps),Oct 2021 - Nov 2021,"679,787 members"
Mushoku Tensei II: Isekai Ittara Honki Dasu,8.38,TV (12 eps),Jul 2023 - Sep 2023,"412,942 members"
3-gatsu no Lion,8.38,TV (22 eps),Oct 2016 - Mar 2017,"662,224 members"
Barakamon,8.38,TV (12 eps),Jul 2014 - Sep 2014,"647,591 members"
Chihayafuru 2,8.38,TV (25 eps),Jan 2013 - Jun 2013,"230,312 members"
Cowboy Bebop: Tengoku no Tobira,8.38,Movie (1 eps),Sep 2001 - Sep 2001,"367,052 members"
Cross Game,8.38,TV (50 eps),Apr 2009 - Mar 2010,"122,182 members"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.37,Movie (1 eps),Jan 2019 - Jan 2019,"129,043 members"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,Movie (1 eps),Oct 2012 - Oct 2012,"198,137 members"
Mo Dao Zu Shi: Xian Yun Pian,8.37,ONA (8 eps),Aug 2019 - Sep 2019,"100,920 members"
Mushoku Tensei: Isekai Ittara Honki Dasu,8.37,TV (11 eps),Jan 2021 - Mar 2021,"1,223,283 members"
Non Non Biyori Nonstop,8.37,TV (12 eps),Jan 2021 - Mar 2021,"119,163 members"
Kaze no Tani no Nausicaä,8.36,Movie (1 eps),Mar 1984 - Mar 1984,"364,064 members"
Kizumonogatari I: Tekketsu-hen,8.36,Movie (1 eps),Jan 2016 - Jan 2016,"515,303 members"
Mahou Shoujo Madoka★Magica,8.36,TV (12 eps),Jan 2011 - Apr 2011,"1,252,935 members"
Suzume no Tojimari,8.36,Movie (1 eps),Nov 2022 - Nov 2022,"273,128 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.36,TV (12 eps),Jul 2020 - Sep 2020,"700,833 members"
Baccano!,8.36,TV (13 eps),Jul 2007 - Nov 2007,"889,039 members"
Haikyuu!! To the Top,8.36,TV (13 eps),Jan 2020 - Apr 2020,"897,852 members"
Bakuman. 2nd Season,8.35,TV (25 eps),Oct 2011 - Mar 2012,"347,435 members"
Fumetsu no Anata e,8.35,TV (20 eps),Apr 2021 - Aug 2021,"832,759 members"
Gintama: Shiroyasha Koutan,8.35,Special (1 eps),Sep 2008 - Sep 2008,"68,516 members"
Hellsing Ultimate,8.35,OVA (10 eps),Feb 2006 - Dec 2012,"903,350 members"
K-On! Movie,8.35,Movie (1 eps),Dec 2011 - Dec 2011,"321,784 members"
Neon Genesis Evangelion,8.35,TV (26 eps),Oct 1995 - Mar 1996,"1,754,787 members"
Usagi Drop,8.35,TV (11 eps),Jul 2011 - Sep 2011,"485,435 members"
Boku no Hero Academia 6th Season,8.34,TV (25 eps),Oct 2022 - Mar 2023,"579,870 members"
Psycho-Pass,8.34,TV (22 eps),Oct 2012 - Mar 2013,"1,592,329 members"
Ramayana: The Legend of Prince Rama,8.34,Movie (1 eps),Jan 1993 - Jan 1993,"10,004 members"
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.34,TV (13 eps),Jul 2020 - Sep 2020,"1,065,153 members"
Kidou Senshi Gundam: The Origin,8.33,OVA (6 eps),Feb 2015 - May 2018,"71,170 members"
Kiseijuu: Sei no Kakuritsu,8.33,TV (24 eps),Oct 2014 - Mar 2015,"1,811,877 members"
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33,OVA (1 eps),Feb 2014 - Feb 2014,"78,384 members"
One Outs,8.33,TV (25 eps),Oct 2008 - Apr 2009,"232,263 members"
Romeo no Aoi Sora,8.33,TV (33 eps),Jan 1995 - Dec 1995,"48,713 members"
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.33,TV (12 eps),Jul 2021 - Sep 2021,"707,755 members"
Tian Guan Cifu,8.33,ONA (11 eps),Oct 2020 - Jan 2021,"125,876 members"
Uchuu Senkan Yamato 2199,8.33,OVA (26 eps),May 2012 - Oct 2013,"112,738 members"
Versailles no Bara,8.33,TV (40 eps),Oct 1979 - Sep 1980,"94,247 members"
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.33,Special (1 eps),Jul 2018 - Jul 2018,"317,958 members"
Bakemonogatari,8.33,TV (15 eps),Jul 2009 - Jun 2010,"1,370,964 members"
IDOLiSH7 Third Beat! Part 2,8.33,TV (17 eps),Oct 2022 - Feb 2023,"12,508 members"
Initial D First Stage,8.33,TV (26 eps),Apr 1998 - Dec 1998,"363,790 members"
Fate/stay night: Unlimited Blade Works 2nd Season,8.32,TV (13 eps),Apr 2015 - Jun 2015,"832,926 members"
Given,8.32,TV (11 eps),Jul 2019 - Sep 2019,"548,222 members"
Kingdom 2nd Season,8.32,TV (39 eps),Jun 2013 - Mar 2014,"120,282 members"
Major S6,8.32,TV (25 eps),Apr 2010 - Sep 2010,"61,641 members"
Natsume Yuujinchou Go Specials,8.32,Special (2 eps),Mar 2017 - Apr 2017,"44,517 members"
Katanagatari,8.31,TV (12 eps),Jan 2010 - Dec 2010,"551,105 members"
Kemono no Souja Erin,8.31,TV (50 eps),Jan 2009 - Dec 2009,"84,508 members"
Kimetsu no Yaiba: Katanakaji no Sato-hen,8.31,TV (11 eps),Apr 2023 - Jun 2023,"691,524 members"
Natsume Yuujinchou,8.31,TV (13 eps),Jul 2008 - Sep 2008,"527,122 members"
NHK ni Youkoso!,8.31,TV (24 eps),Jul 2006 - Dec 2006,"721,717 members"
Ookami to Koushinryou II,8.31,TV (12 eps),Jul 2009 - Sep 2009,"481,350 members"
Sakamichi no Apollon,8.31,TV (12 eps),Apr 2012 - Jun 2012,"376,800 members"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.31,TV (11 eps),Apr 2011 - Jun 2011,"1,572,980 members"
Blue Lock,8.31,TV (24 eps),Oct 2022 - Mar 2023,"599,483 members"
Hibike! Euphonium 2,8.31,TV (13 eps),Oct 2016 - Dec 2016,"220,978 members"
Hunter x Hunter: Original Video Animation,8.31,OVA (8 eps),Jan 2002 - Apr 2002,"124,092 members"
Kage no Jitsuryokusha ni Naritakute!,8.31,TV (20 eps),Oct 2022 - Feb 2023,"528,697 members"
Tian Guan Cifu Special,8.31,ONA (1 eps),Feb 2021 - Feb 2021,"41,510 members"
Wu Liuqi: Xuanwu Guo Pian,8.30,ONA (10 eps),Jan 2021 - May 2021,"57,524 members"
Kuroko no Basket 3rd Season,8.30,TV (25 eps),Jan 2015 - Jun 2015,"741,426 members"
Ashita no Joe,8.30,TV (79 eps),Apr 1970 - Sep 1971,"87,919 members"
Boku dake ga Inai Machi,8.30,TV (12 eps),Jan 2016 - Mar 2016,"2,029,600 members"
Detective Conan Movie 06: The Phantom of Baker Street,8.30,Movie (1 eps),Apr 2002 - Apr 2002,"75,932 members"
Diamond no Ace: Second Season,8.30,TV (51 eps),Apr 2015 - Mar 2016,"134,181 members"
Evangelion: 2.0 You Can (Not) Advance,8.30,Movie (1 eps),Jul 2009 - Jul 2009,"527,124 members"
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.30,Movie (12 eps),Mar 2022 - May 2022,"19,586 members"
86,8.29,TV (11 eps),Apr 2021 - Jun 2021,"718,769 members"
Beck,8.29,TV (26 eps),Oct 2004 - Mar 2005,"332,552 members"
Doukyuusei (Movie),8.29,Movie (1 eps),Feb 2016 - Feb 2016,"261,002 members"
Gintama: Shinyaku Benizakura-hen,8.29,Special (1 eps),Dec 2010 - Dec 2010,"42,855 members"
Spy x Family Part 2,8.29,TV (13 eps),Oct 2022 - Dec 2022,"819,231 members"
Steins;Gate: Oukoubakko no Poriomania,8.29,Special (1 eps),Feb 2012 - Feb 2012,"429,304 members"
Tenki no Ko,8.29,Movie (1 eps),Jul 2019 - Jul 2019,"954,679 members"
Kino no Tabi: The Beautiful World,8.29,TV (13 eps),Apr 2003 - Jul 2003,"305,497 members"
Kobayashi-san Chi no Maid Dragon S,8.29,TV (12 eps),Jul 2021 - Sep 2021,"532,519 members"
Major: World Series,8.29,OVA (2 eps),Dec 2011 - Jan 2012,"35,978 members"
Rurouni Kenshin: Meiji Kenkaku Romantan,8.29,TV (94 eps),Jan 1996 - Sep 1998,"485,455 members"
Redline,8.28,Movie (1 eps),Aug 2009 - Aug 2009,"366,042 members"
Shinsekai yori,8.28,TV (25 eps),Sep 2012 - Mar 2013,"764,337 members"
Shirobako,8.28,TV (24 eps),Oct 2014 - Mar 2015,"436,815 members"
Dr. Stone,8.28,TV (24 eps),Jul 2019 - Dec 2019,"1,669,200 members"
Fate/Zero,8.28,TV (13 eps),Oct 2011 - Dec 2011,"1,467,646 members"
