title,score,episode,aired,user
New Initial D Movie: Legend 3 - Mugen,7.86,Movie (1 eps),Feb 2016 - Feb 2016,"26,505 members"
Non Non Biyori Repeat: Hotaru ga Tanoshinda,7.86,OVA (1 eps),Sep 2016 - Sep 2016,"48,403 members"
One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,7.86,Special (1 eps),Aug 2014 - Aug 2014,"90,126 members"
Paradise Kiss,7.86,TV (12 eps),Oct 2005 - Dec 2005,"218,743 members"
Sayonara Zetsubou Sensei,7.86,TV (12 eps),Jul 2007 - Sep 2007,"339,042 members"
Seitokai Yakuindomo* OVA,7.86,OVA (10 eps),May 2014 - Sep 2020,"77,958 members"
Sekaiichi Hatsukoi OVA,7.86,OVA (2 eps),Mar 2011 - Sep 2011,"70,056 members"
Beelzebub,7.86,TV (60 eps),Jan 2011 - Mar 2012,"584,639 members"
Carole & Tuesday,7.86,TV (24 eps),Apr 2019 - Oct 2019,"319,920 members"
Cike Wu Liuqi,7.86,ONA (10 eps),Apr 2018 - Jun 2018,"95,949 members"
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,7.86,Movie (1 eps),Apr 2001 - Apr 2001,"9,759 members"
Dance Dance Danseur,7.86,TV (11 eps),Apr 2022 - Jun 2022,"80,038 members"
Detective Conan Movie 01: The Timed Skyscraper,7.86,Movie (1 eps),Apr 1997 - Apr 1997,"70,164 members"
Hoozuki no Reitetsu 2nd Season: Sono Ni,7.86,TV (13 eps),Apr 2018 - Jul 2018,"28,308 members"
Ie Naki Ko,7.86,TV (51 eps),Oct 1977 - Oct 1978,"15,243 members"
InuYasha,7.86,TV (167 eps),Oct 2000 - Sep 2004,"776,975 members"
Tennis no Oujisama,7.86,TV (178 eps),Oct 2001 - Mar 2005,"180,388 members"
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,7.86,TV (12 eps),Jul 2017 - Sep 2017,"1,188,159 members"
Tiger & Bunny,7.85,TV (25 eps),Apr 2011 - Sep 2011,"223,774 members"
Tunshi Xingkong 2nd Season,7.85,ONA (26 eps),Dec 2021 - Sep 2022,"4,903 members"
Urusei Yatsura 2: Beautiful Dreamer,7.85,Movie (1 eps),Feb 1984 - Feb 1984,"19,382 members"
Violet Evergarden CM,7.85,ONA (2 eps),May 2016 - Mar 2017,"5,939 members"
Yuru Yuri Nachuyachumi!,7.85,OVA (1 eps),Feb 2015 - Feb 2015,"72,263 members"
Noragami Aragoto OVA,7.85,OVA (2 eps),Nov 2015 - Mar 2016,"254,915 members"
Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,7.85,Movie (1 eps),Mar 2014 - Mar 2014,"65,577 members"
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",7.85,TV (? eps),Oct 2023 -,"40,315 members"
Detective Conan Movie 22: Zero the Enforcer,7.85,Movie (1 eps),Apr 2018 - Apr 2018,"29,506 members"
Detective Conan Movie 23: The Fist of Blue Sapphire,7.85,Movie (1 eps),Apr 2019 - Apr 2019,"28,119 members"
Douluo Dalu,7.85,ONA (26 eps),Jan 2018 - Jul 2018,"27,556 members"
Durarara!! Specials,7.85,Special (2 eps),Aug 2010 - Feb 2011,"166,351 members"
Hoozuki no Reitetsu OVA,7.85,OVA (4 eps),Feb 2015 - Mar 2017,"17,153 members"
K-On!,7.85,TV (13 eps),Apr 2009 - Jun 2009,"1,028,172 members"
K-On!!: Keikaku!,7.85,Special (1 eps),Mar 2011 - Mar 2011,"123,671 members"
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,7.84,Movie (1 eps),Aug 2013 - Aug 2013,"289,573 members"
Grisaia no Meikyuu: Caprice no Mayu 0,7.84,Special (1 eps),Apr 2015 - Apr 2015,"226,659 members"
Hanasaku Iroha Movie: Home Sweet Home,7.84,Movie (1 eps),Mar 2013 - Mar 2013,"89,348 members"
Jibaku Shounen Hanako-kun,7.84,TV (12 eps),Jan 2020 - Mar 2020,"569,203 members"
K-On!: Live House!,7.84,Special (1 eps),Jan 2010 - Jan 2010,"157,974 members"
Soul Eater,7.84,TV (51 eps),Apr 2008 - Mar 2009,"1,586,456 members"
Trigun Stampede,7.84,TV (12 eps),Jan 2023 - Mar 2023,"156,536 members"
Tunshi Xingkong,7.84,ONA (26 eps),Nov 2020 - May 2021,"6,596 members"
Uchouten Kazoku,7.84,TV (13 eps),Jul 2013 - Sep 2013,"164,858 members"
Uma Musume: Pretty Derby - Road to the Top,7.84,ONA (4 eps),Apr 2023 - May 2023,"9,872 members"
Yamada-kun to Lv999 no Koi wo Suru,7.84,TV (13 eps),Apr 2023 - Jun 2023,"330,971 members"
Yume-iro Pâtissière,7.84,TV (50 eps),Oct 2009 - Sep 2010,"80,360 members"
Yuusha-Ou GaoGaiGar,7.84,TV (49 eps),Feb 1997 - Jan 1998,"21,203 members"
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,7.84,OVA (1 eps),Dec 2005 - Dec 2005,"14,139 members"
Kono Subarashii Sekai ni Shukufuku wo! Kono Subarashii Choker ni Shukufuku wo!,7.84,OVA (1 eps),Jun 2016 - Jun 2016,"392,720 members"
Magi: Sinbad no Bouken (TV),7.84,TV (13 eps),Apr 2016 - Jul 2016,"469,861 members"
One Piece Film: Red,7.84,Movie (1 eps),Aug 2022 - Aug 2022,"147,331 members"
Oniisama e...,7.84,TV (39 eps),Jul 1991 - May 1992,"45,373 members"
Seihou Bukyou Outlaw Star,7.84,TV (24 eps),Jan 1998 - Jun 1998,"152,642 members"
Sekaiichi Hatsukoi 2,7.84,TV (12 eps),Oct 2011 - Dec 2011,"154,681 members"
Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.84,Movie (1 eps),Jan 2018 - Jan 2018,"67,105 members"
Kara no Kyoukai Movie 4: Garan no Dou,7.83,Movie (1 eps),May 2008 - May 2008,"211,266 members"
Kidou Senshi Gundam: Senkou no Hathaway,7.83,Movie (1 eps),Jun 2021 - Jun 2021,"35,421 members"
Michiko to Hatchin,7.83,TV (22 eps),Oct 2008 - Mar 2009,"196,453 members"
Planetarian: Hoshi no Hito,7.83,Movie (1 eps),Sep 2016 - Sep 2016,"47,430 members"
Seitokai Yakuindomo Movie,7.83,Movie (1 eps),Jul 2017 - Jul 2017,"58,828 members"
91 Days,7.83,TV (12 eps),Jul 2016 - Oct 2016,"701,660 members"
Aoki Hagane no Arpeggio: Ars Nova Movie 2 - Cadenza,7.83,Movie (1 eps),Oct 2015 - Oct 2015,"30,872 members"
Beastars,7.83,TV (12 eps),Oct 2019 - Dec 2019,"826,022 members"
Break Blade Movie 4: Sanka no Chi,7.83,Movie (1 eps),Oct 2010 - Oct 2010,"57,352 members"
Capeta,7.83,TV (52 eps),Oct 2005 - Sep 2006,"26,549 members"
Danshi Koukousei no Nichijou Specials,7.83,Special (6 eps),Apr 2012 - Sep 2012,"134,594 members"
Gekkan Shoujo Nozaki-kun,7.83,TV (12 eps),Jul 2014 - Sep 2014,"907,910 members"
Gungrave,7.83,TV (26 eps),Oct 2003 - Mar 2004,"186,551 members"
